TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=list,,,,,,,,,,,,
,,,,,,,,,,,,,
task,Repair the Little Buddy space heater.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Research how to prioritize solar over grid.,https://www.victronenergy.com/live/_media/assistants:3299-virtual-switch-ignore-ac-lesson.pdf,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
note," [[file {""file_name"":""3299-virtual-switch-ignore-ac-lesson.pdf"",""file_size"":1063219,""file_type"":""application/pdf"",""file_url"":""https://files.todoist.com/LNomc8Yo9XygfUce9w6S5ax1VUxZda83IF2eIohC8nr3haRMSPLFonhCVp5F4qdQ/by/47554087/as/file.pdf"",""image"":null,""image_height"":null,""image_width"":null,""resource_type"":""file"",""upload_state"":""completed""}]]",,,,Spencer (47554087),,2025-03-20T00:36:13.566000Z,,,,,,
task,Build the shelves in the Studio,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Acquire one sheet of drywall to finish the studio by the electrical box.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Acquire an iron for ironing products.,Also ironing the kids' curtains.,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Repair the backpack hanger in the Studio by the door.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Organizational,,,,,,,,,,,,
task,Install the fold down monitor mount.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install a shelf for the camera equipment above the electrical outcove.,- Both sliders.,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install a hanger system for the tripods (3).,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Heating,,,,,,,,,,,,
task,Install a skirt around the office.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Get the diesel heater runing in the office. Another in the Tiny House and another in the RV.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Build a wood fireplace (rocketstove bench maybe?) onto the office.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"In the studio, install a propane line under the office up the floor in the center wall.",,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Electrical,,,,,,,,,,,,
task,"Secure the outlets that are under the outcove, they're lose.",,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,In the Studio upgrade the 15 amp outlets to 20 amp.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Structural,,,,,,,,,,,,
task,Build and install doors on the solar panel system.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install trim on the center of the ridge where the plywood meets.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install a replacement ridge line on the roof.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Drill a hole for wiring for the Uni and Starlink.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Finish the drywalll.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Paint the drywall.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Build the doors for the electrical outcove.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install the doors for the electrical outcove.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Shim and raise the center support beam under the floor.,,1,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Re-seat the lights in the studio.,,3,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
