TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=list,,,,,,,,,,,,
,,,,,,,,,,,,,
task,Provide Spencer an export of your customer list to help Google target.,,1,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"Place an order for the design for your A-Frame at MinuteMan Press or something in town. 4 A-Frames or something similar. We just need the print, not the frame itself. I will make something.",,1,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Email BHS clients,"Create an email marketing campaign to send to Brittany Hill Studios clients to encourage them to get another portrait, family, maternity, newborn or vacation.",1,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,ISpy Series with Brittany. @Ideas,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Create a Sunriver Family Reunion Photoshoot page.,,1,1,Spencer (47554087),Britt (47606195),,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Website & SEO,,,,,,,,,,,,
task,Landing Page - Sunriver Real Estate Photography,Create a Landing Page on the website specifically for Sunriver real estate / vacation rental photography.,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Landing Page - Sunriver Wedding Photography,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,"Prepare content and photos for a Sunriver specific landing page so Spencer can optimize it for organic keywords for ""sunriver"" and ""wedding photography"" and stuff.",,4,2,Spencer (47554087),Britt (47606195),,,America/Los_Angeles,,,,
task,Landing Page - Sunriver Family Reunion Photography,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,"Prepare content and photos for a Sunriver specific landing page so Spencer can optimize it for organic keywords for ""sunriver"" and ""sunriver family reunions"" and stuff.",,4,2,Spencer (47554087),Britt (47606195),,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Email Marketing,,,,,,,,,,,,
task,Complete the email marketing campaign for BrittanyHillStudios.com,"> [https://caper-parsnip-32em.squarespace.com/config/marketing/campaigns/composer/654dd7e9c944265a93a533d4](https://caper-parsnip-32em.squarespace.com/config/marketing/campaigns/composer/654dd7e9c944265a93a533d4)
>
> ""sign in with google""
>
> hello@brittanyhillstudios
>
> Chr131tim9!",4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Work with Spencer to enhance your email marketing campaign and define your drip marketing steps.,,4,2,Spencer (47554087),Britt (47606195),,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
